Date,Open,High,Low,Close,Volume,Adj Close
2014-02-27,25.21,25.56,25.15,25.50,22813400,25.50
2014-02-26,25.33,25.36,25.10,25.30,29784400,25.30
2014-02-25,25.38,25.48,25.17,25.27,33090400,25.27
2014-02-24,25.02,25.45,24.96,25.29,38023300,25.29
2014-02-21,25.12,25.19,24.94,24.94,37146000,24.94
2014-02-20,25.31,25.32,25.02,25.12,32274900,25.12
2014-02-19,25.68,25.77,25.37,25.40,33893100,25.18
2014-02-18,26.01,26.04,25.65,25.65,29216000,25.43
2014-02-14,25.47,25.85,25.38,25.74,24928400,25.52
2014-02-13,25.23,25.44,25.11,25.44,32357200,25.22
2014-02-12,25.57,25.63,25.35,25.39,25227900,25.17
2014-02-11,25.21,25.52,25.16,25.43,32587400,25.21
2014-02-10,25.39,25.39,24.93,25.05,33004400,24.83
2014-02-07,25.20,25.28,25.00,25.19,34720900,24.97
2014-02-06,24.80,25.10,24.62,24.95,44724400,24.73
2014-02-05,24.46,24.64,24.32,24.52,40259700,24.31
2014-02-04,24.53,24.78,24.40,24.57,45856000,24.36
2014-02-03,25.13,25.21,24.32,24.35,75451400,24.14
2014-01-31,25.21,25.38,25.08,25.13,40334000,24.91
2014-01-30,25.50,25.59,25.33,25.50,30094200,25.28
2014-01-29,25.34,25.52,25.16,25.29,39629700,25.07
2014-01-28,25.33,25.62,25.30,25.46,50425800,25.24
2014-01-27,25.26,25.29,24.90,25.07,60548000,24.85
2014-01-24,25.57,25.59,24.95,24.95,95605000,24.73
2014-01-23,25.98,25.98,25.53,25.82,58047400,25.60
2014-01-22,26.30,26.31,25.99,25.99,48673300,25.76
2014-01-21,26.73,26.74,26.04,26.29,59938700,26.06
2014-01-17,26.88,26.92,26.28,26.58,97240600,26.35
2014-01-16,27.22,27.27,27.08,27.20,32648300,26.96
2014-01-15,27.15,27.40,27.01,27.34,31863300,27.10
2014-01-14,26.84,27.00,26.74,26.97,24945900,26.74
2014-01-13,26.98,27.10,26.68,26.73,34419200,26.50
2014-01-10,27.19,27.23,26.86,26.96,38828600,26.73
2014-01-09,27.33,27.36,26.93,27.22,31311400,26.98
2014-01-08,27.35,27.36,27.12,27.21,25868900,26.97
2014-01-07,27.48,27.49,27.21,27.29,24728000,27.05
2014-01-06,27.66,27.73,27.15,27.26,29356600,27.02
2014-01-03,27.52,27.60,27.41,27.48,27570800,27.24
2014-01-02,27.86,27.94,27.41,27.50,41453700,27.26
2013-12-31,27.90,28.09,27.83,28.03,30306700,27.79
2013-12-30,27.84,27.98,27.80,27.89,23832300,27.65
2013-12-27,27.84,27.94,27.76,27.83,18990700,27.59
2013-12-26,27.68,27.96,27.60,27.83,24765300,27.59
2013-12-24,27.38,27.66,27.36,27.61,15109700,27.37
2013-12-23,27.43,27.49,27.27,27.40,29903400,27.16
2013-12-20,27.27,27.47,27.02,27.36,78154800,27.12
2013-12-19,27.17,27.40,26.83,27.32,50749400,27.08
2013-12-18,27.03,27.47,26.84,27.41,55268800,26.95
2013-12-17,27.10,27.14,26.94,27.03,36632600,26.58
2013-12-16,26.94,27.09,26.87,26.98,40160000,26.53
2013-12-13,26.59,26.94,26.51,26.84,39833700,26.39
2013-12-12,26.50,26.70,26.48,26.54,30960200,26.10
2013-12-11,27.11,27.13,26.54,26.58,40161400,26.14
2013-12-10,27.09,27.39,27.07,27.14,30864700,26.69
2013-12-09,26.93,27.33,26.88,27.19,30725600,26.74
2013-12-06,26.77,26.98,26.68,26.94,25347300,26.49
2013-12-05,26.63,26.64,26.35,26.45,28455400,26.01
2013-12-04,26.34,26.66,26.20,26.64,44920800,26.20
2013-12-03,26.60,26.60,26.34,26.56,32745800,26.12
2013-12-02,26.65,26.74,26.56,26.66,34650700,26.22
2013-11-29,26.75,26.87,26.63,26.66,21405900,26.22
2013-11-27,26.83,26.90,26.75,26.83,22707700,26.38
2013-11-26,26.72,26.95,26.72,26.78,36551000,26.33
2013-11-25,27.14,27.17,26.73,26.73,32335400,26.29
